locus	assembly	family	sub_subfamily	sub_subfamily_confident	LF_class	LF_partner	LF_partner_sp	LF_partner_fam	LF_pid	LF_aln	LF_bits	RF_class	RF_partner	RF_partner_sp	RF_partner_fam	RF_pid	RF_aln	RF_bits	has_ortholog	both_flanks_orthologous	partner_family_vs_self
L35	arm	CLsat1	CLsat1.1	Y	truncated							unique	L495.2	val	CLsat1	100.0	600	665.6	Y	N	SAME
L36	arm	CLsat1	CLsat1.2	N	lowcomplex							lowcomplex							N	N	
L37.2	arm	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L38.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L38.2	arm	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L39	arm	CLsat3	CLsat3.1	Y	truncated							telomeric							N	N	
L40	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L41.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L41.2	arm	CLsat1	CLsat1.2	Y	satellite							truncated							N	N	
L42	arm	CLsat3	CLsat3.1	Y	truncated							telomeric							N	N	
L43	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L44	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L45.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L45.2	arm	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L46.1	arm	CLsat1	CLsat1.3	N	truncated							satellite							N	N	
L46.2	arm	CLsat3	CLsat3.1	Y	satellite							telomeric							N	N	
L47	arm	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L48	arm	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L49.1	arm	CLsat1	CLsat1.1	N	truncated							satellite							N	N	
L49.2	arm	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L50.1	arm	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L50.2	arm	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L51.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L51.2	arm	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L52	arm	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L53	arm	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L54.1	arm	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L54.2	arm	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L55	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L56	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L57	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L58	arm	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L59	arm	CLsat1	CLsat1.3	N	truncated							truncated							N	N	
L60	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L61	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L62	arm	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L63	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L64	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L65	arm	CLsat3	CLsat3.1	Y	truncated							telomeric							N	N	
L66	arm	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L67	arm	CLsat3	CLsat3.1	Y	truncated							truncated							N	N	
L68	mix	CLsat1	CLsat1.2	N	truncated							lowcomplex							N	N	
L69	mix	CLsat1	CLsat1.3	Y	unique							telomeric							N	N	
L70	mix	CLsat1	CLsat1.2	N	telomeric							lowcomplex							N	N	
L71	mix	CLsat1	CLsat1.4	N	lowcomplex							truncated							N	N	
L72	mix	CLsat2	CLsat2	Y	lowcomplex							lowcomplex							N	N	
L73	mix	CLsat2	CLsat2	Y	unique	L478	unp	CLsat1	98.8	600	587.5	lowcomplex							Y	Y	DIFFERENT
L74	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L75	mix	CLsat1	CLsat1.3	Y	truncated							telomeric							N	N	
L76	mix	CLsat1	CLsat1.3	Y	truncated							lowcomplex							N	N	
L77	mix	CLsat1	CLsat1.1	N	lowcomplex							unique							N	N	
L78	mix	CLsat1	CLsat1.3	N	unique							truncated							N	N	
L79	mix	CLsat1	CLsat1.3	Y	lowcomplex							truncated							N	N	
L80	mix	CLsat1	CLsat1.3	N	unique							lowcomplex							N	N	
L81.1	mix	CLsat1	CLsat1.3	Y	lowcomplex							satellite							N	N	
L81.2	mix	CLsat2	CLsat2	Y	satellite							truncated							N	N	
L82.1	mix	CLsat2	CLsat2	Y	truncated							satellite							N	N	
L82.2	mix	CLsat1	CLsat1.1	N	satellite							lowcomplex							N	N	
L83	mix	CLsat1	CLsat1.3	Y	lowcomplex							lowcomplex							N	N	
L84	mix	CLsat1	CLsat1.3	Y	lowcomplex							lowcomplex							N	N	
L85.1	mix	CLsat1	CLsat1.3	N	lowcomplex							satellite							N	N	
L85.2	mix	CLsat2	CLsat2	Y	satellite							lowcomplex							N	N	
L86	mix	CLsat2	CLsat2	Y	unique							truncated							N	N	
L87	mix	CLsat3	CLsat3.1	Y	lowcomplex							truncated							N	N	
L88	mix	CLsat1	CLsat1.3	Y	lowcomplex							truncated							N	N	
L89	mix	CLsat1	CLsat1.3	Y	truncated							lowcomplex							N	N	
L90	mix	CLsat2	CLsat2	Y	truncated							lowcomplex							N	N	
L91	mix	CLsat2	CLsat2	Y	lowcomplex							lowcomplex							N	N	
L92	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L93	mix	CLsat1	CLsat1.3	Y	unique							lowcomplex							N	N	
L94	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L95	mix	CLsat2	CLsat2	Y	truncated							unique							N	N	
L96.1	mix	CLsat2	CLsat2	Y	unique							satellite							N	N	
L96.2	mix	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L97	mix	CLsat1	CLsat1.3	Y	lowcomplex							truncated							N	N	
L98.1	mix	CLsat2	CLsat2	Y	truncated							satellite							N	N	
L98.2	mix	CLsat1	CLsat1.3	Y	satellite							lowcomplex							N	N	
L99.1	mix	CLsat1	CLsat1.5	Y	lowcomplex							satellite							N	N	
L99.2	mix	CLsat2	CLsat2	Y	satellite							truncated							N	N	
L100	mix	CLsat1	CLsat1.2	N	lowcomplex							truncated							N	N	
L101	mix	CLsat1	CLsat1.3	N	unique							truncated							N	N	
L102	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L103	mix	CLsat3	CLsat3.1	N	lowcomplex							lowcomplex							N	N	
L104.1	mix	CLsat1	CLsat1.3	Y	telomeric							satellite							N	N	
L104.2	mix	CLsat2	CLsat2	Y	satellite							lowcomplex							N	N	
L105	mix	CLsat2	CLsat2	Y	unique							truncated							N	N	
L106	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L107	mix	CLsat2	CLsat2	Y	truncated							unique							N	N	
L108	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L109	mix	CLsat2	CLsat2	Y	truncated							unique							N	N	
L110	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L111.1	mix	CLsat1	CLsat1.3	Y	truncated							satellite							N	N	
L111.2	mix	CLsat2	CLsat2	Y	satellite							truncated							N	N	
L112	mix	CLsat1	CLsat1.3	N	truncated							lowcomplex							N	N	
L113	mix	CLsat1	CLsat1.3	Y	truncated							unique							N	N	
L114	mix	CLsat2	CLsat2	Y	truncated							unique							N	N	
L115	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L116	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L117	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L118	mix	CLsat2	CLsat2	Y	truncated							lowcomplex							N	N	
L119	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L120	mix	CLsat2	CLsat2	Y	truncated							lowcomplex							N	N	
L121	mix	CLsat2	CLsat2	Y	lowcomplex							lowcomplex							N	N	
L122	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L123	mix	CLsat2	CLsat2	Y	truncated							lowcomplex							N	N	
L124	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L125	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L126	mix	CLsat2	CLsat2	Y	truncated							unique	L222	nai	CLsat1	95.8	387	425.7	Y	N	DIFFERENT
L127	mix	CLsat2	CLsat2	Y	lowcomplex							unique	L222	nai	CLsat1	96.0	397	397.2	Y	N	DIFFERENT
L128	mix	CLsat2	CLsat2	Y	lowcomplex							unique	L222	nai	CLsat1	95.7	397	415.1	Y	N	DIFFERENT
L129	mix	CLsat2	CLsat2	Y	lowcomplex							unique							N	N	
L130.1	mix	CLsat2	CLsat2	Y	unique							satellite							N	N	
L130.2	mix	CLsat1	CLsat1.3	Y	satellite							truncated							N	N	
L131	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L132	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L133	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L134.2	mix	CLsat2	CLsat2	Y	lowcomplex							lowcomplex							N	N	
L135	mix	CLsat2	CLsat2	Y	lowcomplex							lowcomplex							N	N	
L136	mix	CLsat2	CLsat2	Y	truncated							unique	L476	unp	CLsat1	98.7	301	351.5	Y	N	DIFFERENT
L137	mix	CLsat2	CLsat2	Y	lowcomplex							satellite							N	N	
L138	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L139	mix	CLsat2	CLsat2	Y	lowcomplex							unique	L222	nai	CLsat1	91.5	600	474.7	Y	N	DIFFERENT
L140	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L141	mix	CLsat2	CLsat2	Y	truncated							unique	L416	unp	CLsat1	85.7	218	112.3	Y	N	DIFFERENT
L142	mix	CLsat2	CLsat2	Y	satellite							lowcomplex							N	N	
L143	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L144	mix	CLsat2	CLsat2	Y	truncated							lowcomplex							N	N	
L145	mix	CLsat2	CLsat2	Y	lowcomplex							lowcomplex							N	N	
L146	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L147	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L148	mix	CLsat2	CLsat2	Y	truncated							unique							N	N	
L149	mix	CLsat2	CLsat2	Y	unique							unique							N	N	
L150	mix	CLsat2	CLsat2	Y	lowcomplex							unique							N	N	
L151.1	mix	CLsat1	CLsat1.5	Y	lowcomplex							satellite							N	N	
L151.2	mix	CLsat2	CLsat2	Y	satellite							truncated							N	N	
L152.1	mix	CLsat2	CLsat2	Y	truncated							satellite							N	N	
L152.2	mix	CLsat1	CLsat1.3	N	satellite							lowcomplex							N	N	
L153	mix	CLsat1	CLsat1.3	Y	lowcomplex							truncated							N	N	
L154	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L155	mix	CLsat1	CLsat1.3	Y	truncated							truncated							N	N	
L156	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L157	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L158.1	mix	CLsat1	CLsat1.5	Y	lowcomplex							satellite							N	N	
L158.2	mix	CLsat2	CLsat2	Y	satellite							truncated							N	N	
L159.1	mix	CLsat1	CLsat1.3	Y	truncated							satellite							N	N	
L159.2	mix	CLsat2	CLsat2	Y	satellite							lowcomplex							N	N	
L160	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L161	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L162	mix	CLsat1	CLsat1.3	Y	truncated							lowcomplex							N	N	
L163	mix	CLsat1	CLsat1.3	N	unique							truncated							N	N	
L164	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L165	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L166	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L167	mix	CLsat2	CLsat2	Y	truncated							unique							N	N	
L168	mix	CLsat2	CLsat2	Y	unique							truncated							N	N	
L169.2	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L170	mix	CLsat2	CLsat2	Y	truncated							lowcomplex							N	N	
L171	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L172	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L173	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L174	mix	CLsat1	CLsat1.3	Y	truncated							truncated							N	N	
L175	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L176.1	mix	CLsat1	CLsat1.3	Y	truncated							satellite							N	N	
L176.2	mix	CLsat2	CLsat2	Y	satellite							truncated							N	N	
L177	mix	CLsat2	CLsat2	Y	truncated							truncated							N	N	
L178	mix	CLsat2	CLsat2	Y	lowcomplex							truncated							N	N	
L179	mix	CLsat1	CLsat1.3	Y	lowcomplex							truncated							N	N	
L180	mix	CLsat1	CLsat1.3	Y	truncated							truncated							N	N	
L181	mix	CLsat1	CLsat1.4	N	telomeric							unique							N	N	
L182	nai	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L183.2	nai	CLsat4	CLsat4	Y	lowcomplex							unique	L441	unp	CLsat4	100.0	600	511.9	Y	Y	SAME
L184.1	nai	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L184.2	nai	CLsat1	CLsat1.5	Y	satellite							truncated							N	N	
L185.2	nai	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L186	nai	CLsat3	CLsat3.2	Y	lowcomplex							lowcomplex							N	N	
L187	nai	CLsat1	CLsat1.4	N	satellite							lowcomplex							N	N	
L188	nai	CLsat1	CLsat1.4	Y	lowcomplex							truncated							N	N	
L189	nai	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L190	nai	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L191	nai	CLsat1	CLsat1.4	Y	lowcomplex							lowcomplex							N	N	
L192	nai	CLsat1	CLsat1.2	Y	unique	L420.2	unp	CLsat1	100.0	597	548.3	unique	L447	unp	CLsat1	100.0	600	639.6	Y	N	SAME
L193	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L194	nai	CLsat1	CLsat1.4	Y	lowcomplex							truncated							N	N	
L195	nai	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L196	nai	CLsat3	CLsat3.1	Y	lowcomplex							unique	L369	unm	CLsat3	100.0	600	397.1	Y	N	SAME
L197.2	nai	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L198	nai	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L199	nai	CLsat1	CLsat1.1	N	telomeric							truncated							N	N	
L200	nai	CLsat3	CLsat3.1	Y	unique	L377	unm	CLsat3	100.0	600	540.3	lowcomplex							Y	N	SAME
L201	nai	CLsat3	CLsat3.1	Y	unique	L378	unm	CLsat3	100.0	600	661.3	lowcomplex							Y	N	SAME
L202	nai	CLsat1	CLsat1.2	N	lowcomplex							truncated							N	N	
L203	nai	CLsat1	CLsat1.1	N	truncated							lowcomplex							N	N	
L204	nai	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L205	nai	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L206	nai	CLsat1	CLsat1.4	N	truncated							truncated							N	N	
L207	nai	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L208	nai	CLsat1	CLsat1.2	Y	unique	L434	unp	CLsat1	100.0	600	592.7	truncated							Y	Y	SAME
L209	nai	CLsat1	CLsat1.2	N	telomeric							truncated							N	N	
L210	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L211	nai	CLsat1	CLsat1.2	N	truncated							unique	L365	unm	CLsat1	100.0	600	514.7	Y	N	SAME
L212	nai	CLsat1	CLsat1.1	Y	unique	L366	unm	CLsat1	100.0	600	618.2	truncated							Y	N	SAME
L213	nai	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L214.1	nai	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L214.2	nai	CLsat1	CLsat1.5	Y	satellite							truncated							N	N	
L215	nai	CLsat1	CLsat1.3	N	lowcomplex							lowcomplex							N	N	
L216	nai	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L217	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L218	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L219	nai	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L220	nai	CLsat1	CLsat1.3	N	lowcomplex							truncated							N	N	
L221	nai	CLsat1	CLsat1.4	Y	lowcomplex							telomeric							N	N	
L222	nai	CLsat1	CLsat1.2	Y	lowcomplex							unique	L447	unp	CLsat1	99.8	600	673.6	Y	N	SAME
L223	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L224	nai	CLsat1	CLsat1.4	N	truncated							truncated							N	N	
L225	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L226	nai	CLsat1	CLsat1.4	Y	telomeric							lowcomplex							N	N	
L227	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L228.1	nai	CLsat1	CLsat1.5	Y	lowcomplex							satellite							N	N	
L228.2	nai	CLsat1	CLsat1.5	Y	satellite							truncated							N	N	
L229	nai	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L230	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L231	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L232	nai	CLsat1	CLsat1.1	N	telomeric							truncated							N	N	
L233	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L234	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L235	nai	CLsat1	CLsat1.2	Y	telomeric							telomeric							N	N	
L236	nai	CLsat1	CLsat1.4	Y	telomeric							truncated							N	N	
L237	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L238	nai	CLsat1	CLsat1.4	N	truncated							truncated							N	N	
L239	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L240.1	nai	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L240.2	nai	CLsat1	CLsat1.5	Y	satellite							truncated							N	N	
L241	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L242	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L243	nai	CLsat1	CLsat1.4	Y	lowcomplex							satellite							N	N	
L244	nai	CLsat1	CLsat1.1	N	satellite							telomeric							N	N	
L245	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L246	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L247	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L248	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L249	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L250	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L251	nai	CLsat1	CLsat1.2	Y	truncated							unique	L434	unp	CLsat1	99.8	600	616.0	Y	N	SAME
L252	nai	CLsat1	CLsat1.2	Y	lowcomplex							unique	L431	unp	CLsat1	99.8	600	611.1	Y	N	SAME
L253	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L254	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L255	nai	CLsat1	CLsat1.1	N	truncated							lowcomplex							N	N	
L256	nai	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L257	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L258	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L259	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L260	nai	CLsat1	CLsat1.4	N	lowcomplex							lowcomplex							N	N	
L261	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L262	nai	CLsat1	CLsat1.2	N	truncated							truncated							N	N	
L263	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L264	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L265	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L266	nai	CLsat1	CLsat1.2	N	truncated							lowcomplex							N	N	
L267	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L268	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L269	nai	CLsat1	CLsat1.1	N	truncated							lowcomplex							N	N	
L270	nai	CLsat1	CLsat1.2	N	unique	L396	unm	CLsat1	100.0	600	706.5	truncated							Y	N	SAME
L271	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L272	nai	CLsat1	CLsat1.4	Y	telomeric							lowcomplex							N	N	
L273	nai	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L274	nai	CLsat1	CLsat1.2	Y	lowcomplex							truncated							N	N	
L275	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L276	nai	CLsat1	CLsat1.1	Y	truncated							unique							N	N	
L277	nai	CLsat1	CLsat1.1	N	unique							unique							N	N	
L278.1	nai	CLsat1	CLsat1.1	Y	unique							satellite							N	N	
L278.2	nai	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L279	nai	CLsat4	CLsat4	Y	lowcomplex							telomeric							N	N	
L280	nai	CLsat1	CLsat1.2	N	telomeric							truncated							N	N	
L281	nai	CLsat1	CLsat1.2	Y	telomeric							truncated							N	N	
L282	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L283	nai	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L284	nai	CLsat1	CLsat1.4	Y	truncated							truncated							N	N	
L285	nai	CLsat1	CLsat1.2	Y	truncated							lowcomplex							N	N	
L286	nai	CLsat1	CLsat1.4	Y	lowcomplex							telomeric							N	N	
L287	nai	CLsat1	CLsat1.4	Y	lowcomplex							unique	L409	unp	CLsat1	100.0	600	603.8	Y	N	SAME
L288	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L289	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L290	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L291	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L292	nai	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L293	nai	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L294	nai	CLsat1	CLsat1.1	Y	telomeric							truncated							N	N	
L295	nai	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L296	nai	CLsat1	CLsat1.2	Y	truncated							telomeric							N	N	
L297	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L298	nai	CLsat1	CLsat1.4	N	telomeric							truncated							N	N	
L299	nai	CLsat1	CLsat1.2	N	truncated							unique	L477	unp	CLsat1	100.0	600	617.1	Y	N	SAME
L300	nai	CLsat1	CLsat1.2	Y	unique	L478	unp	CLsat1	100.0	600	644.7	truncated							Y	N	SAME
L301	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L302	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L303	nai	CLsat1	CLsat1.2	Y	truncated							truncated							N	N	
L304	nai	CLsat1	CLsat1.3	N	truncated							truncated							N	N	
L305	nai	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L306	nai	CLsat1	CLsat1.4	N	truncated							lowcomplex							N	N	
L307.1	nai	CLsat4	CLsat4	Y	lowcomplex							satellite							N	N	
L307.2	nai	CLsat1	CLsat1.5	Y	satellite							truncated							N	N	
